;t/m jan 1995;t/m jan 1996;t/m jan 1995;t/m jan 1996;t/m jan 1997;t/m jan 1998;t/m jan 1999;t/m jan 2000;t/m jan 2001;t/m jan 2002;t/m jan 2003;t/m jan 2004;t/m jan 2005;t/m jan 2006;t/m jan 2007;t/m jan 2008;t/m jan 2009;t/m jan 2010;t/m jan 2011;t/m jan 2012;t/m jan 2013;t/m jan 2014;t/m jan 2015;t/m jan 2016;t/m jan 2017;t/m jan 2018;t/m jan 2019;t/m jan 2020;t/m jan 2021;t/m jan 2022;t/m jan 2023;t/m jan 2024;t/m jan 2025;;;;;
Binnengekomen;302;60;302;60;66;88;43;60;96;124;32;82;63;102;102;89;90;45;53;73;45;114;92;91;82;71;114;99;54;258;164;191;248;;;;;
Afgehandeld;102;102;102;102;48;150;64;88;52;102;72;53;54;35;101;98;73;118;57;82;74;82;71;60;56;86;79;89;79;127;88;94;129;;;;;
Exercitie Uitbesteding;28;53;28;53;6;113;18;22;5;4;0;4;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Gemiddeld per landmeter (tienvoud);113.3;102.0;113.3;102.0;53.3;187.5;80.0;146.7;86.7;170.0;144.0;132.5;180.0;87.5;168.3;163.3;121.7;196.7;95.0;164.0;148.0;136.7;118.3;100.0;93.3;143.3;131.7;148.3333333;131.6666667;211.6666667;146.6666667;134.2857143;184.2857143;;;;;
Aantal landmeters;9;10;9;10;9;8;8;6;6;6;5;4;3;4;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6;6;7;7;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;t/m feb 1995;t/m feb 1996;t/m feb 1995;t/m feb 1996;t/m feb 1997;t/m feb 1998;t/m feb 1999;t/m feb 2000;t/m feb 2001;t/m feb 2002;t/m feb 2003;t/m feb 2004;t/m feb 2005;t/m feb 2006;t/m feb 2007;t/m feb 2008;t/m feb 2009;t/m feb 2010;t/m feb 2011;t/m feb 2012;t/m feb 2013;t/m feb 2014;t/m feb 2015;t/m feb 2016;t/m feb 2017;t/m feb 2018;t/m feb 2019;t/m feb 2020;t/m feb 2021;t/m feb 2022;t/m feb 2023;t/m feb 2024;t/m feb 2025;;;;;
Binnengekomen;388;233;388;233;151;391;83;117;168;193;84;195;127;181;289;291;194;182;131;149;146;239;162;167;181;218;192;241;142;366;501;281;326;;;;;
Afgehandeld;230;337;230;337;154;243;116;149;130;192;142;112;120;154;206;216;178;322;122;196;148;183;161;139;141;167;195;198;96;216;199;241;305;;;;;
Exercitie Uitbesteding;79;179;79;179;46;168;19;23;12;9;0;7;1;3;5;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Gemiddeld per landmeter (tienvoud);127.8;168.5;127.8;168.5;96.3;151.9;72.5;124.2;108.3;160.0;142.0;160.0;200.0;171.1;171.7;180.0;148.3;268.3;110.9;196.0;148.0;152.5;134.2;115.8;117.5;139.2;162.5;165.0;80.0;180.0;165.8333333;172.1428571;217.8571429;;;;;
Aantal landmeters;18;20;18;20;16;16;16;12;12;12;10;7;6;9;12;12;12;12;11;10;10;12;12;12;12;12;12;12;12;12;12;14;14;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
