;t/m jan 2001;t/m jan 2002;t/m jan 2003;t/m jan 2004;t/m jan 2005;t/m jan 2006;t/m jan 2007;t/m jan 2008;t/m jan 2009;t/m jan 2010;t/m jan 2011;t/m jan 2012;t/m jan 2013;t/m jan 2014;t/m jan 2015;t/m jan 2016;t/m jan 2017;t/m jan 2018;t/m jan 2019;t/m jan 2020;t/m jan 2021;t/m jan 2022;t/m jan 2023;t/m jan 2024;t/m jan 2025
Palm&Senior;45;34;56;66;39;18;62;39;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eshuis;10;26;17;33;45;36;37;47;38;48;88;49;49;63;41;50;42;80;0;0;0;0;0;0;0
Simon & Steenbaar;79;59;48;63;168;94;45;54;86;36;72;72;65;34;36;39;35;54;62;145;54;53;80;97;0
Pluijm - Vrede;31;19;38;14;37;16;48;24;26;35;71;29;28;24;25;26;20;36;0;0;0;0;0;0;0
Hu-A-Ng;13;33;28;18;31;45;21;22;36;33;38;32;25;21;26;28;28;20;28;26;33;39;25;0;0
Plank;23;39;51;54;43;56;62;35;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kleinm/Naaldijk;25;47;55;55;56;54;47;61;73;60;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chatlein A.R.;;;;;;0;18;15;14;24;13;19;43;38;18;17;22;30;13;35;29;16;30;34;33
Burgers & Fung-A-Loi;;15;11;30;39;43;55;82;56;69;61;50;43;83;69;46;59;76;72;0;0;0;0;0;0
Samandar & Fung-A-Loi;;;;;;;;;;;;;;;;;;;;90;86;50;84;85;88
Kleinmoedig & Alexander;;;;;;;;;;;;78;62;62;26;28;41;49;33;28;27;11;0;0;0
Naaldijk;;;;;;;;;;;;21;32;26;31;32;70;20;83;21;26;32;62;36;34
Overigen;6;9;14;14;9;3;0;16;12;20;15;9;16;7;7;11;9;12;19;5;8;16;6;10;8
Victoria;;;;;;;;;;;;;;;;;;;12;14;11;25;17;23;12
Baaten;;;;;;;;;;;;;;;;;;;;;;;0;0;0
Alexander;;;;;;;;;;;;;;;;;;;;;;;0;0;0
Baaten & Alexander;;;;;;;;;;;;;;;;;;;;;;;24;19;63
Moerdijk;;;;;;;;;;;;;;;;;;;41;54;43;54;102;42;55
Notaris Gosselaar;;;;;;;;;;;;;;;;;;;;;;;0;30;36
