;t/m jan 2008;t/m jan 2009;t/m jan 2010;t/m jan 2011;t/m jan 2012;t/m jan 2013;t/m jan 2014;t/m jan 2015;t/m jan 2016;t/m jan 2017;t/m jan 2018;t/m jan 2019;t/m jan 2020;t/m jan 2021;t/m jan 2022;t/m jan 2023;t/m jan 2024;t/m jan 2025;;;;;;;
Inzagen;602;460;502;405;365;523;512;348;500;624;963;1006;1090;1282;1637;1177;1675;1798;;;;;;;
Her inzage;55;35;48;33;27;54;51;79;31;57;60;64;70;89;134;130;124;176;;;;;;;
Na inzage;288;233;121;97;102;157;149;191;136;125;159;146;168;211;174;209;225;232;;;;;;;
Kadastrale legger;40;47;19;29;18;27;31;24;18;44;34;40;45;47;83;58;39;82;;;;;;;
Verklaring;45;145;75;46;31;34;43;35;48;61;86;59;58;72;37;32;39;35;;;;;;;
Getuigschrift;0;5;2;0;0;2;3;4;3;3;1;3;9;2;1;8;5;2;;;;;;;
;t/m feb 2008;t/m feb 2009;t/m feb 2010;t/m feb 2011;t/m feb 2012;t/m feb 2013;t/m feb 2014;t/m feb 2015;t/m feb 2016;t/m feb 2017;t/m feb 2018;t/m feb 2019;t/m feb 2020;t/m feb 2021;t/m feb 2022;t/m feb 2023;t/m feb 2024;t/m feb 2025;;;;;;;
Inzagen;1060;914;982;899;715;982;947;969;1303;1426;2160;2023;2153;2315;3117;2326;3079;3445;;;;;;;
Her inzage;110;78;86;74;66;90;110;149;55;110;131;137;153;221;261;282;265;346;;;;;;;
Na inzage;535;487;269;175;215;275;304;342;279;257;331;352;365;445;377;408;396;481;;;;;;;
Kadastrale legger;64;82;61;53;48;60;48;42;51;84;104;77;196;120;135;139;138;206;;;;;;;
Verklaring;138;248;125;99;58;71;95;67;98;106;145;96;100;135;74;69;66;84;;;;;;;
Getuigschrift;2;7;2;0;1;7;10;13;3;5;5;10;14;7;1;9;6;2;;;;;;;
;t/m mrt 2008;t/m mrt 2009;t/m mrt 2010;t/m mrt 2011;t/m mrt 2012;t/m mrt 2013;t/m mrt 2014;t/m mrt 2015;t/m mrt 2016;t/m mrt 2017;t/m mrt 2018;t/m mrt 2019;t/m mrt 2020;t/m mrt 2021;t/m mrt 2022;t/m mrt 2023;t/m mrt 2024;t/m mrt 2025;;;;;;;
Inzagen;1449;1361;1681;1347;1138;1461;1436;1510;2026;2255;3193;3539;3064;3402;4996;3791;4757;4971;;;;;;;
Her inzage;166;148;157;147;108;141;167;221;106;168;199;204;215;299;406;461;432;496;;;;;;;
Na inzage;763;663;445;318;342;461;478;591;441;458;510;517;511;634;653;653;605;712;;;;;;;
Kadastrale legger;101;134;112;76;77;91;84;71;100;146;132;139;234;155;226;198;224;278;;;;;;;
Verklaring;138;310;187;150;86;120;142;114;155;183;284;185;143;196;141;109;109;150;;;;;;;
Getuigschrift;5;7;2;5;2;10;12;15;7;22;7;15;22;10;7;11;7;2;;;;;;;
;t/m april 2008;t/m april 2009;t/m april 2010;t/m april 2011;t/m april 2012;t/m april 2013;t/m april 2014;t/m april 2015;t/m april 2016;t/m april 2017;t/m april 2018;t/m april 2019;t/m april 2020;t/m april 2021;t/m april 2022;t/m april 2023;t/m april 2024;t/m april 2025;;;;;;;
Inzagen;1779;1791;2210;1784;1513;1852;1877;2111;3205;2887;4068;4585;3123;4043;6252;4960;6403;6726;;;;;;;
Her inzage;224;187;213;196;715;202;204;312;171;208;256;291;233;335;602;572;605;725;;;;;;;
Na inzage;1053;932;639;461;451;672;622;847;594;617;680;742;524;712;897;831;812;1007;;;;;;;
Kadastrale legger;142;167;129;108;99;111;101;112;137;172;165;174;234;189;270;251;283;359;;;;;;;
Verklaring;192;381;260;179;111;171;182;186;194;237;372;246;143;212;208;146;151;202;;;;;;;
